px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.73857	-7.29686	-2.86243	2.26177	0.215443	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.24033
8.7986	-7.44379	-2.87261	2.23657	0.177236	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.857576
8.86402	-7.56665	-2.81183	2.21922	0.138573	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	6.08361
8.92701	-7.71322	-2.81249	2.198	0.108083	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.528898
9.0053	-7.8318	-2.81766	2.1994	0.104847	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.204636
9.0521	-7.97617	-2.82112	2.16944	0.0677544	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.783543
9.09009	-8.09763	-2.74258	2.13524	0.0140347	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	8.09215
9.14371	-8.23819	-2.73831	2.11423	-0.00887	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.424104
9.21955	-8.36121	-2.7558	2.11719	-0.00190044	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.43906
9.25422	-8.50454	-2.7577	2.08391	-0.0365011	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.753695
9.29053	-8.63682	-2.70365	2.0467	-0.0869312	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.78795
9.33211	-8.77805	-2.69833	2.02224	-0.107536	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.433886
9.4781	-8.90747	-2.83442	2.10365	0.0226527	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.1032
9.51637	-9.06245	-2.84781	2.07066	-0.0123327	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.81805
9.55791	-9.18686	-2.8107	2.04525	-0.0477347	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.49767
9.60003	-9.3261	-2.81362	2.02371	-0.067544	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.254536
9.63441	-9.45079	-2.78186	1.99682	-0.100437	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.752
9.65236	-9.60271	-2.78815	1.95768	-0.135651	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.817851
9.71893	-9.73777	-2.81314	1.96444	-0.114157	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.03091
9.73778	-9.89005	-2.82021	1.92873	-0.144932	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.644916
9.7506	-10.0322	-2.77511	1.88178	-0.200985	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.86045
9.78513	-10.1747	-2.76854	1.86439	-0.207789	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.180448
9.82303	-10.3118	-2.76869	1.84911	-0.215411	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.506572
9.83291	-10.4577	-2.77258	1.81666	-0.237426	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.381695
9.87591	-10.6034	-2.78203	1.81506	-0.218795	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.872551
9.89671	-10.7564	-2.78239	1.79179	-0.230211	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.125934
9.8992	-10.9044	-2.75465	1.74664	-0.278128	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.12067
9.90311	-11.0572	-2.75376	1.71625	-0.293514	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.271274
9.91843	-11.1926	-2.75248	1.69944	-0.295666	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0666464
9.91167	-11.3381	-2.7579	1.66717	-0.313	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.272397
9.92514	-11.478	-2.7627	1.65331	-0.30941	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0734291
9.90937	-11.6242	-2.76843	1.61886	-0.32814	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.359238
9.83201	-11.7556	-2.71077	1.50493	-0.475552	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	15.825
9.80657	-11.8868	-2.70613	1.47155	-0.485489	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.270835
9.78174	-12.0187	-2.70153	1.43773	-0.498763	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.171078
9.73668	-12.1567	-2.70692	1.39516	-0.51587	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.401858
9.66443	-12.2858	-2.69014	1.3096	-0.606844	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	4.84627
9.61216	-12.408	-2.68434	1.26891	-0.617549	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.402836
9.48745	-12.5178	-2.66103	1.13634	-0.769496	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	11.2285
9.41663	-12.6266	-2.65249	1.08903	-0.778995	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.465247
9.33547	-12.7505	-2.65087	1.03201	-0.800396	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.20794
9.25263	-12.8581	-2.63664	0.982474	-0.807546	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.53432
9.0756	-12.9345	-2.63964	0.802909	-1.01976	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	20.6758
8.95359	-13.0185	-2.64329	0.732852	-1.03732	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0.918619
8.80483	-13.0942	-2.65155	0.624689	-1.11305	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	2.47746
8.68145	-13.1563	-2.63539	0.55587	-1.12311	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.682505
8.53199	-13.2023	-2.65228	0.445538	-1.20595	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	3.03821
8.40153	-13.2411	-2.64617	0.374761	-1.2168	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.483252
8.21985	-13.2553	-2.67739	0.233859	-1.33035	8.22926	-13.1698	8.2	-13.15	-2.72741	0	6.08971
8.06932	-13.2635	-2.66747	0.147867	-1.34445	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.7215
7.91266	-13.2646	-2.67337	0.0553709	-1.36983	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.805644
7.76661	-13.2503	-2.66282	-0.0295384	-1.38135	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.390232
7.67272	-13.2886	-2.59953	-0.0181579	-1.25543	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	9.9852
7.52835	-13.2781	-2.61224	-0.0865827	-1.25776	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.376403
7.38488	-13.2595	-2.60621	-0.151458	-1.24668	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.776645
7.23085	-13.2356	-2.62129	-0.219726	-1.24311	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.265381
7.08703	-13.168	-2.65608	-0.324445	-1.30467	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.30525
6.94382	-13.1298	-2.67819	-0.384295	-1.29476	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.504176
6.81159	-13.0825	-2.66973	-0.442643	-1.27696	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.38979
6.65881	-13.0298	-2.69483	-0.500459	-1.25975	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.646489
6.5445	-13.0051	-2.61567	-0.507287	-1.16194	6.40137	-13.0799	6.4	-13.05	-2.72678	0	10.5077
6.38723	-12.9626	-2.64824	-0.543154	-1.12807	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.38205
